Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
2018,ALFUZOSIN HYDROCHLORIDE,Generic,Misc Therapeutic Agents,"Misc Therapeutic Agents, NEC",6116,294127,103301.11999999998,13505.609999999999,89795.51,16.890307390451273,0.3512126394380658,14.682065075212556,2.208242315238718,0.30529502561818533,0.04591761381988052
2018,ALINIA,Brand,Anti-Infective Agents,"Anti-Infectives, Misc",285,3974,606711.3200000001,586300.7,20410.620000000003,2128.8116491228075,152.6701862103674,71.6162105263158,2057.195438596491,5.136039255158531,147.53414695520885
2018,ALL DAY ALLERGY,Generic,Antihistamines & Comb.,"Antihistamines & Comb, NEC",371,14033,1939.0,1048.55,890.4499999999999,5.226415094339623,0.13817430342763487,2.400134770889488,2.826280323450135,0.0634540012826908,0.07472030214494406
2018,ALLEGRA-D 12 HOUR ALLERGY & CONGESTION,Generic,Antihistamines & Comb.,"Antihistamines & Comb, NEC",35,1075,1338.62,685.12,653.5,38.24628571428571,1.245227906976744,18.67142857142857,19.574857142857145,0.607906976744186,0.6373209302325581
2018,ALLEGRA-D 24 HOUR ALLERGY & CONGESTION,Brand,Autonomic Drugs,"Sympathomimetic Agents, NEC",15,450,65.86,0.0,65.86,4.390666666666666,0.14635555555555554,4.390666666666666,0.0,0.14635555555555554,0.0
2018,ALLEGRA-D 24 HOUR ALLERGY & CONGESTION,Generic,Autonomic Drugs,"Sympathomimetic Agents, NEC",90,3000,3240.45,1701.04,1539.41,36.004999999999995,1.08015,17.104555555555557,18.900444444444442,0.5131366666666667,0.5670133333333334
2018,ALLERGY,Generic,Antihistamines & Comb.,"Antihistamines & Comb, NEC",255,8443,514.24,71.25,442.99000000000007,2.0166274509803923,0.060907260452445815,1.73721568627451,0.27941176470588236,0.0524683169489518,0.008438943503494018
2018,ALLERGY RELIEF,Generic,Antihistamines & Comb.,"Antihistamines & Comb, NEC",184,6547,1171.61,379.25,792.36,6.367445652173912,0.1789537192607301,4.306304347826087,2.061141304347826,0.12102642431648084,0.05792729494424927
2018,ALLERGY RELIEF-D,Generic,Autonomic Drugs,"Sympathomimetic Agents, NEC",94,2911,1218.28,514.49,703.79,12.960425531914893,0.41850910340089315,7.487127659574468,5.473297872340425,0.24176915149433184,0.17673995190656133
2018,ALLOPURINOL,Generic,Misc Therapeutic Agents,"Antigout Agents, NEC",60326,3016349,657072.2000000001,96455.34000000001,560616.86,10.892023339853464,0.21783692802126017,9.293121705400656,1.5989016344528066,0.18585941480909537,0.03197751321216478
2018,ALMOND OIL SWEET,Brand,Pharmaceutical Aids/Adjuvants,"Pharmaceutical Aids/Adjuv, NEC",23,690,2816.0699999999997,477.59999999999997,2338.4700000000003,122.4378260869565,4.081260869565217,101.67260869565219,20.765217391304347,3.3890869565217394,0.6921739130434782
2018,ALMOTRIPTAN MALATE,Generic,Autonomic Drugs,"Vascular 5HT1 Agonist, NEC",483,11405,139442.74999999997,121256.90000000002,18185.85,288.7013457556935,12.22645769399386,37.65186335403727,251.04948240165638,1.5945506356861026,10.631907058307762
