Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
"Electrolytic, Caloric, Water",402559,20944843,5780108.05,2584996.7800000003,3195111.27,2020,Generic,14.35841218305888,0.275968077201629,7.937001209760557,6.421410973298324,0.15254882884536303,0.12341924835626604
"Eye, Ear, Nose Throat",235122,7443082,8139220.66,4664293.300000001,3474927.36,2020,Generic,34.6170101479232,1.0935282803548316,14.779252303059687,19.83775784486352,0.46686673074406543,0.6266615496107661
Gastrointestinal Drugs,377177,15759779,19485657.409999996,15374256.639999997,4111400.7699999996,2020,Generic,51.661838897917946,1.2364169199326969,10.900454614146673,40.76138428377127,0.2608793416455903,0.9755375782871065
Heavy Metal Antagonists,161,4876,1063966.55,1054498.04,9468.51,2020,Generic,6608.487888198758,218.20478876127976,58.81062111801242,6549.677267080746,1.9418601312551271,216.26292863002462
Hormones & Synthetic Subst,1541523,78470613,54060035.14,40707556.55,13352478.59,2020,Generic,35.06923681320357,0.6889207701232052,8.661874386564456,26.407362426639107,0.1701589688104004,0.5187618013128048
Immunosuppressants,24297,1084249,4459903.4,3724190.29,735713.1100000001,2020,Generic,183.55778079598306,4.113357171645997,30.279997942132777,153.27778285385028,0.6785462656640681,3.4348109059819287
Misc Therapeutic Agents,185094,9216845,12710379.33,10551330.62,2159048.71,2020,Generic,68.66986142176408,1.379037982086061,11.66460668633235,57.00525473543172,0.23425030040105915,1.1447876816850016
Missing,76,4738,378.89,318.09,60.8,2020,Generic,4.985394736842105,0.07996834107218236,0.7999999999999999,4.185394736842105,0.012832418742085268,0.06713592233009708
Oxytocics,140,446,46949.95,43218.99,3730.96,2020,Generic,335.3567857142857,105.2689461883408,26.649714285714285,308.7070714285714,8.365381165919283,96.90356502242152
Pharmaceutical Aids/Adjuvants,17623,234743,256203.7,195115.99,61087.71000000001,2020,Generic,14.538029847358565,1.0914221084334783,3.466362707825002,11.071667139533563,0.26023229659670366,0.8311898118367747
Respiratory Tract Agents,135201,4837932,1947716.01,984994.8500000001,962721.1599999999,2020,Generic,14.40607695209355,0.40259268009554494,7.120665971405536,7.285410980688013,0.1989943554394729,0.20359832465607208
Skin & Mucous Membrane,521054,12208665,27814741.79,18319073.13,9495668.66,2020,Generic,53.38168748344701,2.2782787299020817,18.22396269868382,35.15772478476319,0.7777810808962323,1.5004976490058495
Smooth Muscle Relaxants,25571,1200982,1370409.5100000002,791705.16,578704.35,2020,Generic,53.59233154745611,1.1410741459905314,22.63127566383794,30.96105588361816,0.4818593034699937,0.6592148425205374
Unknown,10511,375613,459769.94999999995,411169.56,48600.38999999999,2020,Generic,43.74178955380078,1.2240522825354818,4.62376462753306,39.11802492626772,0.1293895312462561,1.094662751289226
Vitamins & Comb,131414,6164687,4491579.789999999,3537799.73,953780.06,2020,Generic,34.17885301413852,0.728598189981097,7.257826867761426,26.9210261463771,0.15471670500059453,0.5738814849805026
Anti-Infective Agents,61059,2111198,147034115.29999998,141772388.56,5261726.74,2020,Brand,2408.066219558132,69.64487238998899,86.17446633583911,2321.891753222293,2.4922942992556836,67.15257809073331
Antihistamines & Comb.,382,6906,69805.14,52459.77,17345.37,2020,Brand,182.73596858638743,10.107897480451781,45.4067277486911,137.32924083769632,2.5116377063423108,7.59625977410947
Antineoplastic Agents,12621,389861,147531534.63,147021806.66,509727.97000000003,2020,Brand,11689.369671975279,378.4208593062655,40.38728864590762,11648.982383329372,1.3074607873062452,377.1133985189593
Autonomic Drugs,118254,3340500,28959638.02,24610536.84,4349101.18,2020,Brand,244.89351751314965,8.669252513096842,36.77762426640959,208.11589324674006,1.3019312019158809,7.367321311180961
Blood Derivatives,40,1113,397304.12,396324.12,980.0,2020,Brand,9932.603,356.9668643306379,24.5,9908.103,0.8805031446540881,356.08636118598383
Blood Form/Coagul Agents,62056,2677178,47594471.17,42599113.89,4995357.28,2020,Brand,766.960022721413,17.777850845181007,80.49757122598943,686.4624514954235,1.8659040527002688,15.91194679248074
Cardiovascular Agents,22927,986251,23826162.38,21933689.720000003,1892472.6600000001,2020,Brand,1039.21849260697,24.158315053672947,82.54340559166049,956.6750870153096,1.9188549973586848,22.239460056314268
